geneNames	geneIDs	feature	id	fc	pval	qval
.	MSTRG.1636	transcript	1981	0.00595282604758028	0.0156555582561686	0.928695521035182
.	MSTRG.1640	transcript	1985	6347.69058735184	0.0205084369647337	0.928695521035182
.	MSTRG.1654	transcript	2001	108.23409383096	0.0217782131141547	0.928695521035182
pqqD	MSTRG.1681	transcript	2033	2507035.4153644	0.0468010085114821	0.928695521035182
pqqH	MSTRG.1682	transcript	2035	1816491839022.96	0.00464558548734129	0.928695521035182
.	MSTRG.1689	transcript	2044	3099075.74524413	0.0287040390791441	0.928695521035182
.	MSTRG.1719	transcript	2082	422916.385676221	0.0242253659505837	0.928695521035182
.	MSTRG.1731	transcript	2096	0.0585011836362696	0.0404539379172818	0.928695521035182
.	MSTRG.1802	transcript	2186	81301983394.6682	0.00165065073042836	0.928695521035182
glgP	MSTRG.1805	transcript	2190	261.622593484896	0.00376670008322677	0.928695521035182
.	MSTRG.1843	transcript	2248	3.0914699707467e-08	0.0232079340809562	0.928695521035182
.	MSTRG.1844	transcript	2249	0.000166561202727963	0.0227034906032531	0.928695521035182
.	MSTRG.1851	transcript	2257	2647028.55037981	0.0422033648235904	0.928695521035182
pslA	MSTRG.1868	transcript	2279	213.322381392929	0.0195078229441517	0.928695521035182
pslF	MSTRG.1870	transcript	2284	1432.6529182846	0.00551349304238358	0.928695521035182
bkdB	MSTRG.1878	transcript	2296	672027195529.84	0.0261105788943371	0.928695521035182
lpdV	MSTRG.1879	transcript	2297	12243554168344.5	0.0311319742060345	0.928695521035182
pvcA	MSTRG.1883	transcript	2301	0.000834301095572335	0.0259788918710266	0.928695521035182
pbpC	MSTRG.1899	transcript	2319	0.0013694310281503	0.0417199633389574	0.928695521035182
arsB	MSTRG.1905	transcript	2325	10684.7923571794	0.0474631247955866	0.928695521035182
arsC	MSTRG.1906	transcript	2326	372537.399734277	0.0320785338908763	0.928695521035182
.	MSTRG.1920	transcript	2349	8.01836353654395	0.0272643755982906	0.928695521035182
.	MSTRG.1921	transcript	2357	216199927.620268	0.0328993760831149	0.928695521035182
.	MSTRG.1933	transcript	2371	14403.4588269483	0.0175701253281129	0.928695521035182
.	MSTRG.1942	transcript	2383	0.0106256393408519	0.0138666034282698	0.928695521035182
.	MSTRG.1969	transcript	2420	2.58137981273769	0.0150112973116825	0.928695521035182
.	MSTRG.2038	transcript	2513	77.499954083522	0.0130286910073945	0.928695521035182
.	MSTRG.2120	transcript	2617	3.70376925395831	0.0191824174924162	0.928695521035182
.	MSTRG.2121	transcript	2618	0.000359376976987125	0.00871266651241887	0.928695521035182
.	MSTRG.2154	transcript	2651	14483872.9123158	0.0197522588591432	0.928695521035182
.	MSTRG.2163	transcript	2662	0.176372383291796	0.0375030845108321	0.928695521035182
trxB1	MSTRG.2170	transcript	2672	0.00803665750758009	0.0482595550630633	0.928695521035182
.	MSTRG.2209	transcript	2721	0.00172707724673359	0.0418219667149586	0.928695521035182
.	MSTRG.2220	transcript	2738	2132.52431176827	0.0120501104461288	0.928695521035182
.	MSTRG.2251	transcript	2770	27839.052459924	0.00301447334917504	0.928695521035182
.	MSTRG.2257	transcript	2776	868.294206785538	0.00437800409031341	0.928695521035182
.	MSTRG.2287	transcript	2809	741393385.948682	0.00572001920774412	0.928695521035182
.	MSTRG.2319	transcript	2841	28240629.4716547	0.00209538337661286	0.928695521035182
.	MSTRG.2327	transcript	2850	0.0156829530615418	0.0480661050016653	0.928695521035182
.	MSTRG.2332	transcript	2855	138.838185437143	0.0024170994232553	0.928695521035182
ptrA	MSTRG.2344	transcript	2869	3.5874518035536e-06	0.0461370512512224	0.928695521035182
acpP	MSTRG.2479	transcript	3033	0.0558470253549419	0.0276755426570197	0.928695521035182
moeA2	MSTRG.2528	transcript	3096	0.0104799767931182	0.0119273775439459	0.928695521035182
.	MSTRG.2537	transcript	3107	6193109252119.36	0.00658465492790405	0.928695521035182
pelE	MSTRG.2557	transcript	3130	94579486.9754921	0.00176196001940432	0.928695521035182
.	MSTRG.2601	transcript	3197	119.531017932664	0.000973180568110132	0.928695521035182
ubiG	MSTRG.2645	transcript	3249	0.000957363332695942	0.0321100009663006	0.928695521035182
.	MSTRG.2646	transcript	3251	0.0681424498494916	0.0301285245111187	0.928695521035182
.	MSTRG.2654	transcript	3259	494921886.674437	0.0429517521199394	0.928695521035182
.	MSTRG.2657	transcript	3263	84.7640249870953	0.0141709050910012	0.928695521035182
.	MSTRG.2659	transcript	3265	984254404141.747	0.0246650264069275	0.928695521035182
.	MSTRG.2660	transcript	3266	204822966108.643	0.0248657339341414	0.928695521035182
.	MSTRG.2661	transcript	3268	17686283.1923994	0.0371726874363509	0.928695521035182
.	MSTRG.2667	transcript	3274	1163.04438010652	0.00360446801069447	0.928695521035182
.	MSTRG.2691	transcript	3302	0.0668591380008537	0.000805251490451964	0.928695521035182
.	MSTRG.2696	transcript	3308	2167678168.10468	0.00956681384918068	0.928695521035182
.	MSTRG.2697	transcript	3310	16.3392489801742	0.0274114540018565	0.928695521035182
.	MSTRG.2700	transcript	3314	10.6202863559169	0.0188870528964306	0.928695521035182
.	MSTRG.2713	transcript	3329	787929840.156851	0.00587022286909411	0.928695521035182
.	MSTRG.2716	transcript	3333	0.00108992345254056	0.0257969101834971	0.928695521035182
oprP	MSTRG.2740	transcript	3358	32031.5136371873	0.0450254624737925	0.928695521035182
.	MSTRG.2770	transcript	3393	11325.491302893	0.00903609577947517	0.928695521035182
.	MSTRG.2791	transcript	3422	144589.471960573	0.0401923968503146	0.928695521035182
phnC	MSTRG.2827	transcript	3468	35.4665394632382	0.0229467047898445	0.928695521035182
.	MSTRG.2831	transcript	3472	1019.75011064033	0.00942400378801067	0.928695521035182
.	MSTRG.2852	transcript	3499	8.98528617552289e-05	0.0117895869393603	0.928695521035182
.	MSTRG.2890	transcript	3550	4.65230354308012e-05	0.0317458264377645	0.928695521035182
.	MSTRG.2931	transcript	3605	5632531569.44061	0.0273188737741497	0.928695521035182
.	MSTRG.2938	transcript	3615	10745.9872996304	0.0297650599618162	0.928695521035182
.	MSTRG.2946	transcript	3624	0.00213162214402954	0.0333102420571874	0.928695521035182
nalD	MSTRG.2977	transcript	3666	415068.367502631	0.0340320698815108	0.928695521035182
.	MSTRG.3068	transcript	3772	0.0304626560476789	0.0414517406214772	0.928695521035182
.	MSTRG.3072	transcript	3776	0.00263466722817852	0.0313579914636435	0.928695521035182
.	MSTRG.3133	transcript	3844	0.0052779374814123	0.0113814423945358	0.928695521035182
.	MSTRG.3221	transcript	3943	0.0592839986594647	0.00836331254439204	0.928695521035182
tpbA	MSTRG.3258	transcript	3982	25244.2778318802	0.0087456926818501	0.928695521035182
.	MSTRG.3277	transcript	4009	7.21925756543108e-14	0.0398961672319043	0.928695521035182
moaE	MSTRG.3279	transcript	4015	1.65125634453684e-06	0.0358774532711843	0.928695521035182
.	MSTRG.3328	transcript	4069	75806.3784094024	0.0139415954978914	0.928695521035182
leuS	MSTRG.3343	transcript	4087	0.000846386511200599	0.0211153482674561	0.928695521035182
.	MSTRG.3366	transcript	4116	9595.9771760162	0.0497788622683853	0.928695521035182
.	MSTRG.3368	transcript	4118	0.303325290962165	0.0393194393737777	0.928695521035182
.	MSTRG.3383	transcript	4133	529.349349920465	0.0380586875475677	0.928695521035182
ribB	MSTRG.3398	transcript	4154	7.75809653664958e-08	0.0327913762536833	0.928695521035182
